"","target","bat_h","bat_2b","bat_hr","bat_bb","bat_so","bat_hbp","p_h","p_hr","p_bb","p_so","f_dp","bat_3b^0.39","bas_sb^0.24","bas_cs^0.23","f_e^-0.76","bat_1b","total_bases","saber"
"24",92,1387,236,167,671,860,52,1387,167,671,860,156,7.82163714729927,8.79544213839731,5.90404728706699,1.28452366193919,976.178362852701,2139.6432742946,1028.66835488514
"25",75,1406,257,172,590,926,51,1406,172,590,926,162,6.58208692528715,9.23460243771531,6.01390097018055,1.28705211886521,970.417913074713,2192.16417385057,1048.885082577
"26",75,1458,258,124,469,819,39,1458,124,469,819,175,7.2324626715183,8.06946387301018,6.4181527805423,1.29076243923413,1068.76753732848,2102.46492534304,994.100337093043
"27",91,1422,208,145,429,1011,84,1422,145,429,1011,173,7.93337441846182,8.17191005464711,5.79008038380534,1.28121509687918,1061.06662558154,2080.86674883692,1000.10904592526
"28",80,1448,237,147,566,1000,45,1448,147,566,1000,186,6.71789429886359,7.43155257914948,5.95946694059038,1.29164315426122,1057.28210570114,2139.43578859773,1024.4171108332
"29",81,1396,245,115,448,928,43,1396,115,448,928,156,6.98058841011198,8.3370023302732,6.60248578742018,1.28309747161603,1029.01941158989,1999.96117682022,945.02478016033
"30",72,1306,202,88,416,882,39,1306,88,416,882,172,5.69136086939904,10.064278426833,8.18620943419066,1.29057938704349,1010.3086391306,1783.3827217388,843.053820833815
"31",71,1399,259,114,564,930,51,1399,114,564,930,161,6.30059943216861,10.255092191752,8.15768135535731,1.28773811031432,1019.69940056783,2012.60119886434,949.668808587007
"32",66,1468,251,169,566,1007,43,2068,238,797,1419,155,6.15447619721736,8.27178051250525,7.39588389906621,1.28452366193919,1041.84552380278,2238.30895239443,1073.39186616946
"33",87,1553,282,208,630,993,43,1735,232,704,1109,134,6.85067066270533,7.2644252133865,6.01390097018055,1.2842478841083,1056.14932933729,2472.70134132541,1186.46449380119
"34",70,1581,258,193,530,980,40,1591,194,533,986,157,6.30059943216861,6.71134841363698,5.73144033818381,1.28962688347427,1123.69940056783,2430.60119886434,1170.00590888135
"35",84,1531,279,161,617,953,29,1531,161,617,953,140,6.44305863238608,9.26060718366578,7.25135153550439,1.28902363858071,1084.55694136761,2305.88611726477,1098.55720269336
"36",85,1530,314,147,510,1028,48,1530,147,510,1028,146,6.71789429886359,8.30452383592162,6.06738871994857,1.2842478841083,1062.28210570114,2298.43578859773,1081.02150768376
"37",70,1404,248,158,511,1022,65,1404,158,511,1022,156,6.00442897728118,7.51238485307416,6.06738871994857,1.2842478841083,991.995571022719,2138.00885795456,1021.93351979865
"38",82,1574,309,236,608,1024,47,1574,236,608,1024,184,7.59235194689354,8.30452383592162,6.4181527805423,1.29057938704349,1021.40764805311,2606.18470389379,1246.2145711982
"39",75,1447,275,158,494,1001,77,1447,158,494,1001,142,6.58208692528715,8.99318854413911,6.4181527805423,1.2833924227247,1007.41791307471,2209.16417385057,1049.09844783114
"40",99,1603,333,152,462,805,74,1603,152,462,805,151,7.35469423572852,9.02069661164102,6.37036688048799,1.27796875782682,1110.64530576427,2406.70938847146,1129.16196284305
"41",77,1473,276,150,476,838,56,1473,150,476,838,138,7.47462018216802,9.33769751358103,6.81912554536376,1.28396750030445,1039.52537981783,2213.94924036434,1049.23979977347
"42",92,1603,272,162,450,942,73,1603,162,450,942,126,7.93337441846182,9.6805283418331,6.11996713095119,1.27911412340665,1161.06662558154,2376.86674883692,1132.40763145297
"43",95,1520,278,147,447,848,29,1520,147,447,848,139,7.10780457688447,10.0858742772721,6.64697460985315,1.27796875782682,1087.89219542312,2253.21560915377,1067.35493203435
"44",65,1353,235,159,489,1239,84,1353,159,489,1239,125,8.86511934426502,7.59151536073121,5.67162849756961,1.28249206525661,950.134880655735,2082.73023868853,996.187401104214
"45",100,1566,289,216,588,1045,73,1566,216,588,1045,129,8.86511934426502,9.53685206820628,5.73144033818381,1.28368238862429,1052.13488065574,2520.73023868853,1207.29911954941
"46",85,1466,282,179,535,975,59,1466,179,535,975,138,8.668395196373,8.43289738727373,6.01390097018055,1.28452366193919,996.331604803627,2302.33679039275,1095.5004238449
"47",92,1494,284,208,587,1052,57,1494,208,587,1052,148,7.70799248689177,7.51238485307416,5.67162849756961,1.27675188012574,994.292007513108,2417.41598497378,1156.48546845045
"48",98,1471,283,165,643,1016,50,1471,165,643,1016,116,8.36281450726582,8.27178051250525,6.11996713095119,1.27873987004688,1014.63718549273,2265.72562901453,1077.12648433594
"49",84,1467,303,152,531,1006,45,1467,152,531,1006,132,8.96152998078935,7.70719590211276,5.67162849756961,1.28452366193919,1003.03847001921,2243.92305996158,1056.75631005751
"50",51,1401,295,135,441,1022,35,1401,135,441,1022,144,8.04328659940716,6.71134841363698,5.28473944806696,1.29147146500136,962.956713400593,2117.08657319881,992.554209442507
"51",77,1419,291,191,606,1094,55,1419,191,606,1094,159,6.71789429886359,7.34893098064556,4.83709662986251,1.28054095771707,930.282105701137,2296.43578859773,1092.60041986474
"52",76,1506,331,160,504,965,67,1506,160,504,965,172,8.04328659940716,7.70719590211276,5.14332179167555,1.28368238862429,1006.95671340059,2333.08657319881,1094.32954574023
"53",38,1774,217,19,74,99,69,1518,52,536.5,272,88,12.6701700090708,11.3787108410006,9.63795405164364,1.29412504909297,1525.32982999093,2073.34034001814,932.341300165764
"54",90,1673,222,21,134,227,56,1518,49,310,525,97,9.77788709196816,9.70402964628494,8.43362324446685,1.29412504909297,1420.22211290803,1977.55577418394,891.265159125144
"55",113,1450,246,11,176,327,72,1518,30,475,883,97,12.915048105733,11.666571487361,10.3252680215769,1.3146193249918,1180.08495189427,1754.83009621147,779.796538377714
"56",104,1703,266,39,174,428,56,1518,75,336,825,112,12.7933702907802,11.2283534295288,7.46595899156733,1.31292122353872,1385.20662970922,2111.58674058156,956.856362761591
"57",77,1502,258,39,203,426,56,1518,75,392,822,104,11.5533911761455,11.5086757752257,10.3085243091116,1.31398372540047,1193.44660882385,1900.10678235229,860.832204450625
"58",87,1587,220,29,258,471,89,1518,56,498,908,71,12.6701700090708,11.4926123158157,9.79221490019956,1.31229622402111,1325.32982999093,1919.34034001814,871.497815219809
"59",104,1670,345,56,203,699,72,1518,93,336,1155,86,15.1874800722127,11.5246883423968,8.76477005242564,1.31311976572815,1253.81251992779,2213.37496014443,997.707012179983
"60",107,1551,261,53,302,963,43,1518,77,441,1405,102,12.1610722662106,12.5113196462671,9.79221490019956,1.31194928493828,1224.83892773379,1995.32214453242,913.114938996306
"61",67,1323,208,32,275,755,51,1914,46,398,1092,127,11.4126901844608,12.498070589288,10.3085243091116,1.31327468715163,1071.58730981554,1649.82538036892,750.880953786779
"62",78,1502,209,33,346,744,42,1518,46,479,1030,108,11.7604310500492,11.142813365499,7.28805434359766,1.31327468715163,1248.23956894995,1833.5208621001,837.914114716172
"63",82,1680,248,71,455,525,51,1518,95,609,703,83,14.3775443302685,14.6068001954477,10.3085243091116,1.3138737371505,1346.62245566973,2169.75508866054,1007.60980919893
"64",85,1430,202,68,341,633,51,1729,82,412,765,113,13.3874727353753,13.1002200532505,8.04131918839688,1.31268673561088,1146.61252726462,1862.77494547075,868.735064143862
"65",105,1583,248,53,596,570,51,2003,67,754,721,102,10.7502917703184,13.8241772872716,10.3252680215769,1.3115756986427,1271.24970822968,2011.50058354064,929.60216039906
"66",93,1486,213,38,646,627,43,1810,46,787,764,84,11.3415038921322,13.0164102641481,10.3085243091116,1.30985497146677,1223.65849610787,1835.68300778426,847.431085012178
"67",102,1484,212,63,625,632,51,1742,74,734,742,104,12.5453958858441,12.919049339586,9.79221490019956,1.30947110804216,1196.45460411416,1910.09079177169,892.958772134634
"68",108,1705,224,82,705,367,56,1518,103,536.5,461,74,10.3589628000037,12.4847887924202,10.3085243091116,1.31001523598188,1388.6410372,2195.71792560001,1035.62401373756
"69",102,1450,334,126,657,320,51,1518,155,806,393,115,13.7836422673496,12.3637476239904,10.3252680215769,1.31133384513871,976.216357732651,2189.5672845347,1016.2760699776
"70",88,1693,244,67,618,292,56,1518,83,764,361,107,10.9019059535242,11.6353821452581,9.63795405164364,1.31017111510023,1371.09809404648,2159.80381190705,1006.54082468764
"71",92,1751,216,45,512,339,43,1518,56,633,419,74,12.4189936750864,12.3908834327214,10.3085243091116,1.31027987554721,1477.58100632491,2126.83798735017,982.464513696872
"72",114,1450,282,55,519,322,51,1518,68,637,395,84,13.0352521634877,12.2259524758853,9.79221490019956,1.30686638123517,1099.96474783651,1923.07050432698,879.569166686459
"73",111,1665,207,58,440,329,43,1810,63,478,358,115,10.115010633361,10.6147950247347,7.39588389906621,1.30652466076513,1389.88498936664,2066.23002126672,961.708523161437
"74",101,1617,190,42,459,287,51,1723,45,489,306,83,12.6701700090708,10.8034456096229,7.46595899156733,1.30608374146682,1372.32982999093,1958.34034001814,905.644505347599
"75",77,1647,191,56,464,326,43,1933,66,545,383,101,11.6229285572275,11.1081783443048,8.76477005242564,1.3062471729056,1388.37707144277,2029.24585711446,946.160486094333
"76",86,1393,168,17,471,569,51,1647,20,557,673,106,8.86511934426502,11.2621604374223,8.76477005242564,1.30448005689977,1199.13488065574,1629.73023868853,744.501066490954
"77",68,1344,207,29,467,823,51,1578,34,548,959,104,9.69132887728342,10.6147950247347,9.02448285359878,1.30926939192706,1098.30867112272,1657.38265775457,757.731180841183
"78",58,1289,162,25,335,579,43,1365,26,355,530,96,9.51529089639493,9.86517782467099,5.90404728706699,1.30770340622612,1092.48470910361,1545.03058179279,707.739486967153
"79",54,1280,156,18,318,573,51,1346,19,335,502,94,9.69132887728342,9.58526307754409,7.89048433349191,1.30660202480514,1096.30867112272,1509.38265775457,687.675692764396
"80",53,1196,146,17,382,671,56,1283,18,410,591,109,8.86511934426502,8.52657805251546,6.4181527805423,1.30783340277966,1024.13488065574,1410.73023868853,644.81877331656
"81",63,1338,155,24,452,478,56,1465,26,495,592,140,10.6734647064768,9.33769751358103,8.69083940502565,1.30416913476768,1148.32653529352,1586.34692941295,729.528181828687
"82",66,1292,144,18,436,604,42,1359,19,459,552,95,8.76742318008936,9.63315084932268,7.89048433349191,1.30373540961853,1121.23257681991,1507.53484636018,691.416776817814
"83",48,1187,131,16,424,646,51,1257,17,449,639,107,8.86511934426502,9.6805283418331,7.89048433349191,1.30776872149916,1031.13488065574,1383.73023868853,634.814823014157
"84",56,1334,183,33,380,572,43,1412,35,402,606,145,9.42575189810239,10.0858742772721,9.37433192304923,1.30644645631115,1108.5742481019,1634.8515037962,751.432626165398
"85",47,1520,267,40,594,619,43,1631,43,637,664,118,9.94821985898307,10.4979180493972,7.6352710777126,1.30814762870339,1203.05178014102,1926.89643971797,880.861315879421
"86",55,1551,240,37,481,731,51,1642,39,509,774,137,11.05090337574,9.72740801660869,7.6352710777126,1.30600064766409,1262.94909662426,1924.10180675148,880.151216713783
"87",74,1414,205,34,524,687,51,1517,36,562,737,88,10.4387031201668,10.6721742333667,8.09995835153016,1.30516185987719,1164.56129687983,1741.87740624033,800.83756678017
"88",100,1384,226,37,532,653,51,1465,39,563,691,151,10.4387031201668,9.77380186402442,7.43109698637498,1.30291832180165,1110.56129687983,1741.87740624033,798.827396897458
"89",88,1299,246,18,585,661,56,1384,19,623,704,123,10.1971372053228,9.33769751358103,8.27050600810752,1.30131394630315,1024.80286279468,1619.39427441065,730.318100380224
"90",76,1355,179,23,452,622,56,1435,24,479,659,129,11.5533911761455,10.150059781981,8.18620943419066,1.30201708284445,1141.44660882385,1626.10678235229,743.558773426771
"91",69,1325,140,17,457,572,43,1731,22,597,747,116,11.4126901844608,8.76641568766216,9.53854973567057,1.30221796566424,1156.58730981554,1538.82538036892,705.478863918239
"92",66,1400,165,28,414,561,56,1632,33,483,654,129,11.05090337574,10.255092191752,8.81328774221716,1.30208453766882,1195.94909662426,1671.10180675148,768.458485945838
"93",66,1447,179,25,410,520,43,1542,27,437,554,133,12.4189936750864,8.3370023302732,8.27050600810752,1.30315980495211,1230.58100632491,1725.83798735017,789.477892888875
"94",84,1653,221,65,399,498,42,1750,69,422,527,129,13.2714216283054,8.52657805251546,8.32566699914428,1.30006818602755,1353.72857837169,2095.54284325661,974.385604336412
"95",56,1435,172,34,410,478,56,1519,36,434,506,128,11.4126901844608,7.51238485307416,7.13883046348521,1.30138669308723,1217.58730981554,1731.82538036892,798.602249470671
"96",57,1531,224,34,451,425,51,1611,36,474,447,165,10.1971372053228,7.04421901542249,7.6681839655042,1.30234945564999,1262.80286279468,1877.39427441065,859.189406955516
"97",56,1435,205,26,375,478,56,1519,28,397,506,163,9.69132887728342,7.78241369622632,7.25135153550439,1.29688873319942,1194.30867112272,1737.38265775457,791.553746666862
"98",74,1659,275,43,429,402,56,1757,46,454,426,154,11.1974000550293,7.92858368209117,7.39588389906621,1.30181168534803,1329.80259994497,2085.39480011006,951.117238342961
"99",70,1539,223,17,454,371,56,1640,18,484,395,160,10.5959358208692,8.06946387301018,7.53466121806631,1.30094159975003,1288.40406417913,1834.19187164174,830.053487149401
"100",63,1576,227,39,364,382,43,1658,41,383,402,137,10.4387031201668,8.67810068090429,8.64075626613271,1.30241448763579,1299.56129687983,1940.87740624033,888.789826703525
"101",53,1524,255,55,473,399,43,1614,58,501,422,149,8.56798633634651,7.22143392830582,6.22253283853235,1.29946953467403,1205.43201366365,1961.13597267269,903.844367274265
"102",59,1558,265,35,429,454,42,1639,37,451,478,154,11.6919383676756,7.39047119306469,6.11996713095119,1.30039486379948,1246.30806163232,1951.38387673535,886.310521300236
"103",74,1581,259,69,349,418,43,1663,73,367,440,176,11.7604310500492,7.59151536073121,6.69086526413868,1.29785327727351,1241.23956894995,2070.5208621001,956.780833609815
"104",67,1438,232,36,387,452,51,1513,38,407,475,148,10.2784475664485,6.45262449091941,6.81912554536376,1.29666266446018,1159.72155243355,1798.5568951329,820.809044676558
"105",81,1536,276,66,365,522,43,1616,69,384,549,153,9.77788709196816,5.86693457017965,6.4181527805423,1.29467700020091,1184.22211290803,2029.55577418394,933.909847523874
"106",87,1389,228,57,343,450,42,1461,60,361,473,156,10.0320458456569,4.9841060692956,6.06738871994857,1.29112149541025,1093.96795415434,1808.06409169131,834.649310561361
"107",84,1566,250,89,402,472,43,1680,95,431,506,129,8.96152998078935,5.45697691754388,6.37036688048799,1.29721959807168,1218.03847001921,2100.92305996158,982.887809490599
"108",40,1478,247,79,374,462,51,1565,84,396,489,107,7.70799248689177,4.52215524457137,5.14332179167555,1.29990073708852,1144.29200751311,1977.41598497378,921.118255042098
"109",75,1525,218,70,455,612,51,1604,74,479,644,184,8.96152998078935,4.80814203694365,5.21491068822586,1.29901936797971,1228.03847001921,1970.92305996158,921.411111697674
"110",84,1348,213,67,517,754,43,1437,71,551,804,136,8.668395196373,6.45262449091941,6.4181527805423,1.29558681281442,1059.33160480363,1779.33679039275,831.969036020706
"111",68,1497,213,60,393,530,56,1606,64,422,569,191,8.4661445445662,6.23055716035421,5.95946694059038,1.2985488942557,1215.53385545543,1906.93228908913,886.846076611496
"112",69,1456,233,63,428,619,43,1552,67,456,660,180,9.51529089639493,6.61016803789649,6.37036688048799,1.2986446823527,1150.48470910361,1897.03058179279,879.992285147907
"113",65,1331,230,74,519,555,51,1457,81,568,608,151,5.85016653233442,6.76086056752783,4.9168886077011,1.29354767691949,1021.14983346767,1794.70033306467,839.40326657777
"114",72,1284,214,41,497,645,51,1360,43,526,683,147,8.04328659940716,6.99852633781241,7.17674971378503,1.29795543230932,1020.95671340059,1637.08657319881,753.867892598572
"115",68,1366,263,83,480,535,56,1437,87,505,563,168,8.36281450726582,5.93041444710285,5.67162849756961,1.29825625476629,1011.63718549273,1894.72562901453,880.913951078068
"116",71,1549,244,108,554,544,56,1651,115,590,580,171,6.71789429886359,8.10390834805924,6.90195273040041,1.29964422027667,1190.28210570114,2130.43578859773,1008.47508651182
"117",86,1458,252,47,591,496,51,1544,50,626,525,137,9.33515758785391,7.22143392830582,6.90195273040041,1.29700010300735,1149.66484241215,1869.67031517571,860.022910605203
"118",90,1519,279,89,587,526,51,1598,94,617,553,130,8.668395196373,7.08934012352622,6.06738871994857,1.29481122028957,1142.33160480363,2082.33679039275,971.104120646327
"119",96,1544,288,101,710,568,56,1635,107,752,601,140,9.42575189810239,6.3434143978962,6.27258366478024,1.29339914479984,1145.5742481019,2153.8515037962,1008.80734335193
"120",79,1447,259,108,720,690,42,1522,114,757,726,151,7.70799248689177,5.22979554676677,5.14332179167555,1.29426535034773,1072.29200751311,2045.41598497378,966.14511383871
"121",87,1484,259,156,647,648,51,1561,164,681,682,154,8.04328659940716,7.66902511676718,5.73144033818381,1.29825625476629,1060.95671340059,2227.08657319881,1063.80476548735
"122",80,1457,246,137,594,649,51,1533,144,625,683,165,8.15145038144351,7.99965715418044,5.54826445502029,1.29369450322822,1065.84854961856,2130.30290076289,1015.24793451514
"123",68,1285,198,116,511,753,56,1361,123,541,797,151,7.47462018216802,7.08934012352622,5.54826445502029,1.29494398463407,963.525379817832,1845.94924036434,882.841427078766
"124",94,1467,228,146,495,651,42,1543,154,521,685,180,8.56798633634651,6.90535699608211,5.35290437900384,1.28817894538894,1084.43201366365,2150.13597267269,1029.7907195911
"125",89,1449,230,191,530,773,43,1524,201,558,813,163,9.94821985898307,6.23055716035421,4.99443208292869,1.29467700020091,1018.05178014102,2271.89643971797,1096.13801774959
"126",100,1545,232,209,485,767,51,1625,220,510,807,182,10.5176879208158,5.8021802467856,3.98470200314243,1.28902363858071,1093.48231207918,2425.03537584163,1173.48094301275
"127",89,1481,224,184,507,794,49,1538,191,527,825,143,7.93337441846182,6.17266975527516,3.74897836708695,1.28942856088394,1065.06662558154,2272.86674883692,1098.53217303988
"128",93,1465,208,179,487,834,35,1541,188,512,877,144,9.24347446260256,7.59151536073121,5.73144033818381,1.292629772949,1068.7565255374,2228.48694892521,1079.25943507062
"129",87,1436,209,198,562,926,51,1511,208,591,974,160,7.82163714729927,7.63046800657968,6.06738871994857,1.28705211886521,1021.1783628527,2254.6432742946,1096.17264875239
"130",86,1376,204,181,581,975,54,1376,181,581,975,154,8.04328659940716,6.90535699608211,4.9168886077011,1.28839463723263,982.956713400593,2139.08657319881,1037.94910861853
"131",84,1345,204,139,525,954,71,1345,139,525,954,161,8.15145038144351,7.66902511676718,6.4181527805423,1.28962688347427,993.848549618556,1982.30290076289,952.892713100248
"132",88,1522,274,159,486,825,52,1522,159,486,825,139,7.35469423572852,6.71134841363698,5.84760004459553,1.29214554890648,1081.64530576427,2287.70938847146,1088.0874094582
"133",86,1419,243,196,408,976,62,1419,196,408,976,145,6.85067066270533,7.22143392830582,5.6105896627489,1.29164315426122,973.149329337295,2263.70134132541,1088.5448985442
"134",85,1476,220,207,512,913,56,1476,207,512,913,139,7.35469423572852,6.99852633781241,6.1716709366244,1.29383965427457,1041.64530576427,2331.70938847146,1132.10234851261
"135",77,1307,191,158,512,947,79,1307,158,512,947,148,6.98058841011198,6.80968502753102,6.06738871994857,1.29129759333753,951.019411589888,1985.96117682022,961.877229410593
"136",81,1399,179,80,414,782,55,1399,80,414,782,139,7.2324626715183,7.96428209857372,6.01390097018055,1.28881691737483,1132.76753732848,1832.46492534304,867.718516789563
"137",76,1495,215,160,522,736,66,1495,160,522,736,118,6.30059943216861,6.95224497580954,5.41949379092621,1.29164315426122,1113.69940056783,2202.60119886434,1063.50737037493
"138",74,1434,196,151,560,810,51,1508,159,589,852,137,5.35858202568155,6.50594512820119,5.6105896627489,1.29520524404479,1081.64141797432,2093.71716405136,1014.31948218217
"139",76,1506,220,207,612,875,63,1515,208,616,880,143,7.59235194689354,8.03471557574573,5.79008038380534,1.29558681281442,1071.40764805311,2362.18470389379,1148.805169562
"140",88,1375,202,120,571,772,59,1375,120,571,772,161,7.93337441846182,7.55215761892752,6.01390097018055,1.29020598959399,1045.06662558154,1952.86674883692,935.715588732394
"141",67,1331,180,108,546,764,54,1339,109,549,769,148,6.85067066270533,6.80968502753102,5.67162849756961,1.29666266446018,1036.14932933729,1848.70134132541,887.466729118883
"142",70,1309,170,82,589,811,49,1309,82,589,811,151,7.10780457688447,7.63046800657968,6.81912554536376,1.29558681281442,1049.89219542312,1739.21560915377,829.491969105086
"143",61,1404,218,139,537,876,64,1404,139,537,876,127,5.69136086939904,7.92858368209117,6.46523485045123,1.29654793061219,1041.3086391306,2050.3827217388,984.181756877933
"144",69,1313,191,123,550,874,59,1313,123,550,874,126,8.15145038144351,8.20547893003567,6.98277541121483,1.29369450322822,990.848549618556,1889.30290076289,907.737209150301
"145",67,1406,223,128,496,828,35,1424,130,502,838,141,6.85067066270533,8.49558989031001,6.37036688048799,1.297646061926,1048.14932933729,2026.70134132541,967.611840279488
"146",82,1360,227,145,437,905,59,1368,146,440,911,157,6.00442897728118,7.59151536073121,6.4181527805423,1.29507531786407,981.995571022719,2034.00885795456,973.019420441347
"147",76,1354,226,98,491,825,42,2069,150,750,1261,142,7.59235194689354,9.84250684279409,6.77692382520265,1.29412504909297,1022.40764805311,1889.18470389379,891.899261572142
"148",89,1411,215,146,554,869,49,1411,146,554,869,186,6.00442897728118,9.86517782467099,7.43109698637498,1.29112149541025,1043.99557102272,2076.00885795456,999.087232388522
"149",88,1489,218,130,582,847,56,1489,130,582,847,176,8.76742318008936,9.75066493707712,7.79688769584788,1.29112149541025,1132.23257681991,2114.53484636018,1012.67455662915
"150",80,1338,234,111,555,896,35,1338,111,555,896,153,6.71789429886359,9.60927154628049,7.70079592683685,1.29147146500136,986.282105701137,1918.43578859773,909.002221623151
"151",66,1359,213,126,553,849,42,1359,126,553,849,197,6.85067066270533,7.55215761892752,6.4181527805423,1.29454129915708,1013.14932933729,1963.70134132541,939.853776842593
"152",72,1356,242,139,541,910,39,1364,140,544,916,182,6.30059943216861,8.3370023302732,7.39588389906621,1.29198015519987,968.699400567831,2027.60119886434,966.129796546995
"153",69,1410,286,153,645,839,42,1419,154,649,844,171,6.30059943216861,9.51244615745397,7.10048481571848,1.28705211886521,964.699400567831,2167.60119886434,1026.86452160931
"154",55,1335,231,97,437,859,43,1352,98,442,870,140,6.85067066270533,8.40118439118763,7.17674971378503,1.29369450322822,1000.14932933729,1870.70134132541,880.895621575146
"155",65,1376,263,162,473,1010,54,1376,162,473,1010,133,6.58208692528715,8.27178051250525,6.5573797411403,1.29440409134827,944.417913074713,2138.16417385057,1017.18823108007
"156",94,1407,255,141,563,906,76,1407,141,563,906,122,7.10780457688447,10.1712578486596,7.39588389906621,1.29129759333753,1003.89219542312,2099.21560915377,998.253550091417
"157",98,1391,223,138,493,924,64,1391,138,493,924,121,9.05669882767857,9.26060718366578,6.77692382520265,1.28506186626062,1020.94330117232,2046.11339765536,978.041290687509
"158",104,1444,239,169,560,946,73,1444,169,560,946,146,6.98058841011198,9.23460243771531,6.22253283853235,1.28479495145641,1029.01941158989,2203.96117682022,1059.12731666951
"159",97,1465,281,195,536,949,42,1518,277,762,1349,121,6.58208692528715,7.39047119306469,6.01390097018055,1.28657737877476,982.417913074713,2344.16417385057,1119.46520312135
"160",101,1352,236,189,585,1050,56,1521,213,658,1181,127,7.10780457688447,7.92858368209117,6.22253283853235,1.28608791789338,919.892195423115,2169.21560915377,1044.54137670906
"161",96,1514,264,197,530,1032,72,1514,197,530,1032,143,6.85067066270533,7.96428209857372,5.95946694059038,1.28982252509077,1046.14932933729,2382.70134132541,1144.18448495876
"162",101,1490,268,174,597,1160,56,1490,174,597,1160,136,7.93337441846182,8.76641568766216,6.69086526413868,1.28633453289017,1040.06662558154,2295.86674883692,1097.28822982872
"163",106,1489,297,215,548,1062,69,1489,215,548,1062,139,6.58208692528715,8.46436442415961,5.95946694059038,1.27948114632759,970.417913074713,2444.16417385057,1166.37202912959
