"","target","bat_h","bat_2b","bat_3b","bat_hr","bat_bb","bat_so","bas_sb","bas_cs","bat_hbp","p_h","p_hr","p_bb","p_so","f_e","f_dp","bat_1b","total_bases","saber"
"23",90,1364,215,31,153,648,902,106,51,0,1364,153,648,902,112,202,965,2100,999.35121286721
"24",92,1387,236,36,167,671,860,109,42,0,1387,167,671,860,107,156,948,2196,1039.96494415744
"25",75,1406,257,26,172,590,926,125,44,0,1406,172,590,926,117,162,951,2231,1056.62419215651
"26",75,1458,258,31,124,469,819,86,52,0,1458,124,469,819,135,175,1045,2150,1004.93352791808
"27",91,1422,208,37,145,429,1011,89,40,0,1422,145,429,1011,96,173,1032,2139,1013.0022586388
"28",80,1448,237,27,147,566,1000,69,43,0,1448,147,566,1000,140,186,1037,2180,1033.27191584624
"29",81,1396,245,29,115,448,928,94,56,0,1396,115,448,928,102,156,1007,2044,955.176219334112
"30",72,1306,202,20,88,416,882,160,101,0,1306,88,416,882,134,172,996,1812,850.231652668923
"31",71,1399,259,24,114,564,930,169,100,0,1399,114,564,930,120,161,1002,2048,957.747401616621
"32",66,1468,251,23,169,566,1007,92,76,0,2068,238,797,1419,107,155,1025,2272,1080.39535897629
"33",87,1553,282,28,208,630,993,65,44,0,1735,232,704,1109,106,134,1035,2515,1194.61418462634
"34",70,1581,258,24,193,530,980,53,39,0,1591,194,533,986,129,157,1106,2466,1177.29453589169
"35",84,1531,279,25,161,617,953,126,72,0,1531,161,617,953,126,140,1066,2343,1106.41468224723
"36",85,1530,314,27,147,510,1028,93,45,0,1530,147,510,1028,106,146,1042,2339,1089.68297676323
"37",70,1404,248,22,158,511,1022,71,45,0,1404,158,511,1022,106,156,976,2170,1028.60951815034
"38",82,1574,309,34,236,608,1024,93,52,47,1574,236,608,1024,134,184,995,2659,1255.72753021402
"39",75,1447,275,26,158,494,1001,116,52,77,1447,158,494,1001,103,142,988,2248,1057.16469630306
"40",99,1603,333,32,152,462,805,117,51,74,1603,152,462,805,87,151,1086,2456,1139.70989326325
"41",77,1473,276,33,150,476,838,129,61,56,1473,150,476,838,105,138,1014,2265,1060.09138626684
"42",92,1603,272,37,162,450,942,143,46,73,1603,162,450,942,90,126,1132,2435,1145.07678567465
"43",95,1520,278,30,147,447,848,161,57,29,1520,147,447,848,87,139,1065,2299,1077.36044474094
"44",65,1353,235,46,159,489,1239,73,38,0,1353,159,489,1239,100,125,913,2157,1011.15459155281
"45",100,1566,289,46,216,588,1045,137,39,0,1566,216,588,1045,104,129,1015,2595,1221.23641123157
"46",85,1466,282,44,179,535,975,97,44,59,1466,179,535,975,107,138,961,2373,1109.32098328474
"47",92,1494,284,35,208,587,1052,71,38,57,1494,208,587,1052,84,148,967,2472,1166.68334084012
"48",98,1471,283,41,165,643,1016,92,46,50,1471,165,643,1016,89,116,982,2331,1090.2648402195
"49",84,1467,303,47,152,531,1006,76,38,45,1467,152,531,1006,107,132,965,2320,1072.27359222502
"50",51,1401,295,38,135,441,1022,53,32,35,1401,135,441,1022,139,144,933,2177,1005.12958175719
"51",77,1419,291,27,191,606,1094,67,26,55,1419,191,606,1094,94,159,910,2337,1100.18867637899
"52",76,1506,331,38,160,504,965,76,30,67,1506,160,504,965,104,172,977,2393,1106.39734118936
"53",38,1774,217,96,19,74,99,101,49,0,1518,52,536.5,272,156,88,1442,2240,984.934431954152
"54",90,1673,222,56,21,134,227,101,49,0,1518,49,310,525,156,97,1374,2070,920.548544912721
"55",113,1450,246,100,11,176,327,101,49,0,1518,30,475,883,780,97,1533,2369,1036.96426301169
"56",104,1703,266,98,39,174,428,101,49,0,1518,75,336,825,615,112,1300,2282,1005.38435764633
"57",77,1502,258,79,39,203,426,101,49,0,1518,75,392,822,710,104,1126,2035,898.165286303143
"58",87,1587,220,96,29,258,471,101,49,0,1518,56,498,908,569,71,1242,2086,920.431795585603
"59",104,1670,345,142,56,203,699,101,49,0,1518,93,336,1155,631,149,1127,2467,1060.63627466932
"60",107,1551,261,88,53,302,963,101,49,0,1518,77,441,1405,546,149,1149,2147,953.575288197295
"61",67,1323,208,77,32,275,755,101,49,0,1914,46,398,1092,644,149,1006,1781,787.566566881991
"62",78,1502,209,82,33,346,744,216,49,0,1518,46,479,1030,644,149,1178,1974,878.600993907371
"63",82,1680,248,126,71,455,525,499,49,0,1518,95,609,703,699,149,1235,2393,1065.19474011859
"64",85,1430,202,108,68,341,633,354,49,0,1729,82,412,765,597,149,1052,2052,917.042364536498
"65",105,1583,248,68,53,596,570,419,49,0,2003,67,754,721,523,149,1214,2126,960.726402373102
"66",93,1486,213,76,38,646,627,347,49,0,1810,46,787,764,436,149,1159,1965,883.66106806477
"67",102,1484,212,94,63,625,632,339,49,0,1742,74,734,742,420,149,1115,2073,935.225855648086
"68",108,1705,224,63,82,705,367,305,49,0,1518,103,536.5,461,443,149,1336,2301,1063.7295519245
"69",102,1450,334,115,126,657,320,296,49,0,1518,155,806,393,509,149,1460,2977,1350.22715481376
"70",88,1693,244,70,67,618,292,246,49,0,1518,83,764,361,450,149,1312,2278,1038.55065211744
"71",92,1751,216,92,45,512,339,298,49,0,1518,56,633,419,455,149,1398,2286,1028.73632264103
"72",114,1450,282,102,55,519,322,286,49,0,1518,68,637,395,334,149,1493,2583,1155.88016640994
"73",111,1665,207,60,58,440,329,187,49,0,1810,63,478,358,325,149,1340,2166,990.372331755088
"74",101,1617,190,96,42,459,287,197,49,0,1723,45,489,306,314,149,1289,2125,953.987696543869
"75",77,1647,191,80,56,464,326,214,49,0,1933,66,545,383,318,101,1320,2166,985.266924061203
"76",86,1393,168,46,17,471,569,223,49,0,1647,20,557,673,279,106,1162,1704,767.858032098345
"77",68,1344,207,55,29,467,750,187,49,0,1578,34,548,813.5,412,104,1053,1748,783.705162711035
"78",58,1289,162,53,25,335,750,151,49,0,1365,26,355,813.5,358,96,1049,1632,734.02158616419
"79",54,1280,156,55,18,318,750,139,49,0,1346,19,335,813.5,327,94,1051,1600,715.74264395446
"80",53,1196,146,46,17,382,750,100,49,0,1283,18,410,813.5,362,109,987,1485,667.787177274515
"81",63,1338,155,67,24,452,750,129,49,0,1465,26,495,813.5,273,140,1092,1699,763.540405559901
"82",66,1292,144,45,18,436,750,141,49,0,1359,19,459,813.5,265,95,1085,1580,714.261515313304
"83",48,1187,131,46,16,424,750,143,49,0,1257,17,449,813.5,360,107,994,1458,658.118824608597
"84",56,1334,183,52,33,380,572,161,49,0,1412,35,402,606,323,145,1066,1720,776.278369679523
"85",47,1520,267,58,40,594,619,181,49,0,1631,43,637,664,372,118,1155,2023,907.195631093199
"86",55,1551,240,72,37,481,731,145,49,0,1642,39,509,774,312,137,1202,2046,914.640892273224
"87",74,1414,205,64,34,524,687,190,49,0,1517,36,562,737,293,88,1111,1849,831.369129288575
"88",100,1384,226,64,37,532,653,147,49,0,1465,39,563,691,251,151,1057,1849,828.278312974142
"89",88,1299,246,61,18,585,661,129,104,0,1384,19,623,704,227,123,974,1721,758.492815935021
"90",76,1355,179,79,23,452,622,164,49,0,1435,24,479,659,237,129,1074,1761,783.153387987631
"91",69,1325,140,77,17,457,572,108,49,0,1731,22,597,747,240,116,1091,1670,745.958412126537
"92",66,1400,165,72,28,414,561,169,49,0,1632,33,483,654,238,129,1135,1793,804.953378311366
"93",66,1447,179,92,25,410,520,94,104,0,1542,27,437,554,255,133,1151,1885,836.556563266684
"94",84,1653,221,106,65,399,498,100,106,0,1750,69,422,527,211,129,1261,2281,1024.37722658422
"95",56,1435,172,77,34,410,478,71,69,0,1519,36,434,506,228,128,1152,1863,837.135088328684
"96",57,1531,224,61,34,451,425,60,84,0,1611,36,474,447,242,165,1212,1979,888.735546193612
"97",56,1435,205,55,26,375,478,78,72,0,1519,28,397,506,178,163,1149,1828,818.579083388292
"98",74,1659,275,74,43,429,402,82,76,0,1757,46,454,426,234,154,1267,2211,986.147142681022
"99",70,1539,223,66,17,454,371,86,49,0,1640,18,484,395,222,160,1233,1945,863.632202052092
"100",63,1576,227,64,39,364,382,105,49,0,1658,41,383,402,243,137,1246,2048,919.8797143145
"101",53,1524,255,43,55,473,399,64,49,0,1614,58,501,422,204,149,1171,2030,922.60803957045
"102",59,1558,265,81,35,429,454,68,49,0,1639,37,451,478,215,154,1177,2090,924.816772930498
"103",74,1581,259,82,69,349,418,73,49,0,1663,73,367,440,187,176,1171,2211,993.315379049763
"104",67,1438,232,62,36,387,452,48,49,0,1513,38,407,475,176,148,1108,1902,849.928708056861
"105",81,1536,276,56,66,365,522,38,49,0,1616,69,384,549,160,153,1138,2122,957.984335922721
"106",87,1389,228,59,57,343,450,26,49,0,1461,60,361,473,137,156,1045,1906,860.591984794668
"107",84,1566,250,47,89,402,472,32,49,0,1680,95,431,506,181,129,1180,2177,1002.32078412335
"108",40,1478,247,35,79,374,462,21,49,0,1565,84,396,489,209,107,1117,2032,935.225877150537
"109",75,1525,218,47,70,455,612,24,49,0,1604,74,479,644,199,184,1190,2047,941.959445988544
"110",84,1348,213,44,67,517,754,48,49,0,1437,71,551,804,167,136,1024,1850,850.253692396532
"111",68,1497,213,42,60,393,530,44,49,0,1606,64,422,569,194,191,1182,1974,905.504881396967
"112",69,1456,233,53,63,428,619,51,49,0,1552,67,456,660,195,180,1107,1984,903.05037457841
"113",65,1331,230,21,74,519,555,54,49,0,1457,81,568,608,152,151,1006,1825,847.109913946489
"114",72,1284,214,38,41,497,645,59,49,0,1360,43,526,683,188,147,991,1697,770.308226022323
"115",68,1366,263,41,83,480,535,39,49,0,1437,87,505,563,191,168,979,1960,896.590300096393
"116",71,1549,244,27,108,554,544,87,49,0,1651,115,590,580,206,171,1170,2171,1018.47220592978
"117",86,1458,252,51,47,591,496,64,49,0,1544,50,626,525,179,137,1108,1953,882.497825685897
"118",90,1519,279,44,89,587,526,61,49,0,1598,94,617,553,161,130,1107,2153,988.362969388221
"119",96,1544,288,52,101,710,568,46,49,0,1635,107,752,601,151,140,1103,2239,1028.80224897539
"120",79,1447,259,35,108,720,690,29,49,0,1522,114,757,726,157,151,1045,2100,978.776638313377
"121",87,1484,259,38,156,647,648,75,49,0,1561,164,681,682,191,154,1031,2287,1076.42041118614
"122",80,1457,246,39,137,594,649,84,36,0,1533,144,625,683,153,165,1035,2192,1028.82327319972
"123",68,1285,198,33,116,511,753,61,36,0,1361,123,541,797,162,151,938,1897,894.429904976595
"124",94,1467,228,43,146,495,651,57,33,0,1543,154,521,685,122,180,1050,2219,1044.92936999032
"125",89,1449,230,58,191,530,773,44,28,0,1524,201,558,813,160,163,970,2368,1114.80774310517
"126",100,1545,232,65,209,485,767,37,17,0,1625,220,510,807,126,182,1039,2534,1194.64790431454
"127",89,1481,224,37,184,507,794,43,15,0,1538,191,527,825,128,143,1036,2331,1110.42213546868
"128",93,1465,208,50,179,487,834,73,39,0,1541,188,512,877,146,144,1028,2310,1096.04267593688
"129",87,1436,209,36,198,562,926,74,45,0,1511,208,591,974,117,160,993,2311,1107.22944873039
"130",86,1376,204,38,181,581,975,57,27,0,1376,181,581,975,123,154,953,2199,1049.84417470553
"131",84,1345,204,39,139,525,954,75,52,0,1345,139,525,954,129,161,963,2044,966.283997502176
"132",88,1522,274,32,159,486,825,53,41,0,1522,159,486,825,143,139,1057,2337,1098.58017410614
"133",86,1419,243,28,196,408,976,64,37,0,1419,196,408,976,140,145,952,2306,1096.72969116298
"134",85,1476,220,32,207,512,913,59,47,0,1476,207,512,913,154,139,1017,2381,1141.73619247798
"135",77,1307,191,29,158,512,947,55,45,0,1307,158,512,947,138,148,929,2030,971.026580455615
"136",81,1399,179,31,80,414,782,83,44,0,1399,80,414,782,125,139,1109,1880,880.409006385946
"137",76,1495,215,24,160,522,736,58,34,0,1495,160,522,736,140,118,1096,2238,1071.31576363325
"138",74,1434,196,18,151,560,810,49,37,0,1508,159,589,852,164,137,1069,2119,1019.98072782546
"139",76,1506,220,34,207,612,875,85,40,0,1515,208,616,880,167,143,1045,2415,1159.19536393763
"140",88,1375,202,37,120,571,772,72,44,0,1375,120,571,772,132,161,1016,2011,949.12089101907
"141",67,1331,180,28,108,546,764,55,38,0,1339,109,549,769,176,148,1015,1891,897.646807241507
"142",70,1309,170,30,82,589,811,74,61,0,1309,82,589,811,167,151,1027,1785,841.269975456777
"143",61,1404,218,20,139,537,876,82,53,0,1404,139,537,876,175,127,1027,2079,990.581479108762
"144",69,1313,191,39,123,550,874,90,65,0,1313,123,550,874,153,126,960,1951,921.623761029153
"145",67,1406,223,28,128,496,828,99,51,0,1424,130,502,838,185,141,1027,2069,977.247043078285
"146",82,1360,227,22,145,437,905,73,52,0,1368,146,440,911,163,157,966,2066,979.918679961005
"147",76,1354,226,34,98,491,825,150,60,0,2069,150,750,1261,156,142,996,1942,904.514326840092
"148",89,1411,215,22,146,554,869,151,77,0,1411,146,554,869,137,186,1028,2108,1006.13922859831
"149",88,1489,218,45,130,582,847,146,88,0,1489,130,582,847,137,176,1096,2187,1029.36085967195
"150",80,1338,234,27,111,555,896,140,85,0,1338,111,555,896,139,153,966,1959,918.275223629983
"151",66,1359,213,28,126,553,849,72,52,0,1359,126,553,849,159,197,992,2006,949.402978192518
"152",72,1356,242,24,139,541,910,94,76,0,1364,140,544,916,142,182,951,2063,973.709054074053
"153",69,1410,286,24,153,645,839,136,68,0,1419,154,649,844,117,171,947,2203,1034.07472316624
"154",55,1335,231,28,97,437,859,96,70,0,1352,98,442,870,153,140,979,1913,891.000315087979
"155",65,1376,263,26,162,473,1010,92,55,0,1376,162,473,1010,158,133,925,2177,1025.0137013024
"156",94,1407,255,30,141,563,906,165,76,0,1407,141,563,906,138,122,981,2145,1008.05675318746
"157",98,1391,223,48,138,493,924,126,60,0,1391,138,493,924,109,121,982,2124,994.954801817025
"158",104,1444,239,29,169,560,946,125,48,0,1444,169,560,946,108,146,1007,2248,1068.22759289527
"159",97,1465,281,26,195,536,949,68,44,0,1518,277,762,1349,115,121,963,2383,1126.91096110895
"160",101,1352,236,30,189,585,1050,82,48,0,1521,213,658,1181,113,127,897,2215,1053.20329701708
"161",96,1514,264,28,197,530,1032,83,43,0,1514,197,530,1032,130,143,1025,2425,1152.52605306706
"162",101,1490,268,37,174,597,1160,108,58,0,1490,174,597,1160,114,136,1011,2354,1109.04797619113
"163",106,1489,297,26,215,548,1062,98,43,0,1489,215,548,1062,91,139,951,2483,1173.50603825665
"164",103,1481,309,23,197,608,962,148,66,0,1481,197,608,962,111,122,952,2427,1143.34687012481
"165",95,1490,274,26,179,595,1010,148,56,59,1490,179,595,1010,129,138,1011,2353,1113.82149314285
"166",88,1432,263,24,174,493,1039,85,46,45,1432,174,493,1039,103,133,971,2265,1072.02810910127
"167",101,1608,321,31,235,545,933,68,22,49,1608,235,545,933,121,166,1021,2696,1272.13536548695
"168",96,1503,304,37,178,587,1158,86,32,59,1503,178,587,1158,116,171,984,2415,1128.89887131329
"169",90,1453,308,37,184,534,1084,92,32,45,1453,184,534,1084,86,170,924,2387,1112.71934317191
"170",79,1510,312,26,222,526,1169,52,35,52,1510,222,526,1169,99,146,950,2540,1197.59972549906
"171",57,1478,227,78,31,384,454,208,49,0,1748,37,454,537,465,125,1142,1954,867.060549923831
"172",93,1494,248,73,35,444,390,163,49,0,1780,42,529,465,326,145,1138,1993,885.940607854187
"173",76,1320,193,79,14,316,628,118,49,0,1538,16,368,732,312,110,1034,1713,751.365867751682
"174",69,1349,163,56,11,354,649,160,49,0,1438,12,377,692,285,83,1119,1657,737.998069532381
"175",83,1353,158,65,22,398,750,240,49,0,1471,24,433,813.5,314,87,1108,1707,765.438258951583
"176",74,1411,164,67,11,394,750,153,49,0,1504,12,420,813.5,284,103,1169,1742,774.59486113568
"177",88,1344,184,55,21,366,750,134,49,0,1432,22,390,813.5,253,103,1084,1701,760.435887961572
"178",66,1243,125,49,11,357,750,147,49,0,1342,12,386,813.5,288,116,1058,1499,672.995062554761
"179",49,1162,138,63,13,437,750,178,49,0,1222,14,460,813.5,405,119,948,1465,653.156486115674
"180",48,1270,199,67,18,490,750,133,49,0,1354,19,522,813.5,382,111,986,1657,733.536099797314
"181",56,1328,175,75,20,472,750,185,49,0,1397,21,497,813.5,358,134,1058,1713,762.008370625458
"182",60,1263,190,77,19,482,814,221,49,0,1337,20,510,862,319,132,977,1664,734.847293681828
"183",75,1314,196,79,18,448,914,247,200,0,1391,19,474,968,336,121,1021,1722,759.244717609031
"184",66,1320,175,68,20,497,805,212,168,0,1389,21,523,847,353,151,1057,1691,754.831129210687
"185",83,1328,190,53,15,660,673,246,49,0,1397,16,694,708,261,126,1070,1669,748.383025008126
"186",60,1315,193,66,16,426,568,165,49,0,1383,17,448,598,296,146,1040,1688,747.617523622398
"187",77,1381,202,53,7,527,451,183,49,0,1834,9,700,599,252,114,1119,1710,758.877484197394
"188",78,1438,218,85,36,456,516,86,49,0,1676,42,531,601,249,114,1099,1934,859.705220830085
"189",80,1748,295,88,53,452,359,125,84,0,1851,56,479,380,245,126,1312,2378,1059.39297572493
"190",85,1741,259,112,70,434,428,97,75,0,1831,74,457,450,236,134,1300,2434,1088.54480484935
"191",98,1781,306,99,103,498,401,139,77,0,1874,108,524,422,206,166,1273,2594,1170.56746563696
"192",79,1587,264,66,87,471,451,68,58,0,1691,93,502,481,188,155,1170,2244,1022.90919102535
"193",79,1645,284,66,71,496,372,91,91,0,1753,76,529,396,188,150,1224,2274,1028.51530693647
"194",65,1524,266,82,76,460,489,65,75,0,1603,80,484,514,240,176,1100,2182,981.327434759816
"195",62,1525,277,62,58,469,445,96,70,0,1615,61,497,471,263,176,1128,2100,943.80017854306
"196",86,1505,290,80,66,576,504,80,45,0,1583,69,606,530,194,154,1069,2153,961.659737392042
"197",67,1489,304,70,79,523,579,98,75,0,1566,83,550,609,199,160,1036,2170,973.571770141223
"198",66,1531,302,65,80,513,610,77,84,0,1611,84,540,642,243,168,1084,2203,992.905618792913
"199",66,1580,288,73,70,533,555,73,65,0,1662,74,561,584,197,164,1149,2224,1000.45031871231
"200",59,1434,262,69,69,558,597,77,64,0,1538,74,599,640,161,174,1034,2041,920.108861586187
"201",71,1510,269,63,66,548,673,46,33,0,1609,70,584,717,199,171,1112,2103,950.434134644403
"202",69,1541,310,54,78,632,598,48,27,0,1642,83,674,637,198,147,1099,2193,993.091718028791
"203",61,1601,319,70,84,666,668,66,21,0,1706,90,710,712,200,152,1128,2312,1042.69933564807
"204",48,1655,344,46,75,541,536,32,28,0,1741,79,569,564,183,175,1190,2316,1046.02519121903
"205",45,1528,255,53,96,588,637,50,40,0,1607,101,619,670,209,151,1124,2177,1003.31027149114
"206",70,1497,292,61,124,585,675,54,42,0,1575,130,615,710,166,188,1020,2283,1046.47511555826
"207",74,1515,296,61,96,815,581,53,41,0,1594,101,536.5,611,159,164,1062,2221,1013.67994747222
"208",77,1352,244,38,83,606,689,39,46,0,1441,88,646,734,162,135,987,1921,886.009978447706
"209",94,1397,235,47,76,559,635,46,35,0,1470,80,588,668,180,149,1039,1954,897.196442638535
"210",87,1397,231,40,68,536,595,27,33,0,1499,73,575,638,153,132,1058,1912,878.410522974749
"211",69,1420,231,48,88,489,750,24,37,0,1494,93,514,789,167,165,1053,2011,927.330946227926
"212",62,1302,199,55,95,613,698,73,52,0,1370,100,645,734,141,178,953,1896,879.410486109203
"213",62,1523,266,66,67,612,606,67,47,0,1613,71,648,642,178,201,1124,2122,960.303054324562
"214",56,1369,224,32,123,664,736,40,41,0,1440,129,698,774,174,162,990,2026,955.302986115804
"215",61,1335,247,45,112,726,783,41,42,0,1404,118,764,824,206,163,931,2008,931.825070762571
"216",55,1355,235,49,90,548,729,37,40,0,1425,95,576,767,180,188,981,1958,901.421013364282
"217",67,1410,237,48,86,568,757,32,36,0,1483,90,598,796,163,185,1039,2001,921.810208049574
"218",57,1377,205,52,55,492,667,32,33,0,1449,58,518,702,155,160,1065,1851,844.542662116041
"219",60,1329,186,41,57,589,781,36,48,0,1398,60,620,822,170,167,1045,1768,816.32459326662
"220",73,1307,208,36,96,592,763,41,44,0,1375,101,623,803,140,149,967,1875,876.575038520801
"221",81,1413,204,42,93,537,745,61,37,0,1506,99,572,794,116,169,1074,1980,923.987627308074
"222",78,1306,206,20,114,511,774,35,37,0,1383,121,541,820,121,168,966,1894,897.357007025012
"223",78,1304,191,24,115,564,726,38,25,0,1372,121,593,764,155,171,974,1888,897.327029793124
"224",94,1375,217,35,129,627,843,39,25,0,1446,136,660,887,113,181,994,2049,967.412882802136
"225",95,1393,227,36,149,581,902,39,30,0,1393,149,581,902,126,173,981,2139,1010.98669435324
"226",77,1363,225,34,156,516,931,45,32,0,1363,156,516,931,122,152,948,2124,1005.03006516997
"227",86,1359,207,32,146,469,940,97,34,0,1359,146,469,940,99,157,974,2068,981.5423721896
"228",97,1357,229,20,162,537,1019,78,38,0,1357,162,537,1019,95,159,946,2112,1007.09193528569
"229",94,1299,227,38,125,529,907,67,31,0,1299,125,529,907,126,152,909,1977,924.935191412565
"230",98,1444,246,35,177,520,938,56,44,0,1462,179,527,950,116,144,986,2291,1084.26611512384
"231",76,1320,216,44,139,534,1008,54,37,0,1328,140,537,1014,125,145,921,2041,958.47948624258
"232",91,1187,215,28,133,570,1019,78,32,0,1187,133,570,1019,120,131,811,1857,875.599257149994
"233",109,1465,234,29,175,634,806,82,45,0,1465,175,634,806,101,145,1027,2282,1088.52412158537
"234",108,1424,213,25,179,717,952,84,39,0,1424,179,717,952,117,148,1007,2224,1069.58782097046
"235",104,1417,212,26,162,689,865,68,39,0,1453,166,706,887,115,152,1017,2167,1038.45296200078
"236",84,1213,203,31,105,533,984,82,43,0,1276,110,561,1035,105,158,874,1793,841.121046316637
"237",97,1474,229,48,119,648,752,146,64,0,1474,119,648,752,119,184,1078,2156,1008.44069376255
"238",91,1418,226,27,116,509,770,145,58,0,1418,116,509,770,128,174,1049,2046,963.385973624989
"239",92,1408,228,34,126,591,850,106,56,0,1435,128,602,866,109,178,1020,2082,980.189912958749
"240",88,1326,213,28,119,519,883,150,61,0,1326,119,519,883,118,157,966,1952,920.905262837858
"241",98,1442,232,25,149,563,951,91,51,0,1451,150,566,957,107,190,1036,2171,1031.59659251408
"242",91,1406,250,19,155,555,869,75,61,0,1415,156,558,874,111,167,982,2159,1024.57284156312
"243",104,1427,263,24,184,619,863,101,50,0,1454,187,631,879,127,164,956,2290,1087.10919043133
"244",100,1523,258,29,156,587,766,111,38,0,1523,156,587,766,95,178,1080,2307,1091.06211912519
"245",91,1362,255,17,136,623,700,63,52,0,1518,210,536.5,1080,105,176,954,2059,972.82712171888
"246",94,1478,259,27,179,634,796,49,38,0,1478,179,634,796,101,140,1013,2328,1105.71288847793
"247",98,1492,283,27,168,601,800,61,33,0,1492,168,601,800,121,159,1014,2333,1099.5216986486
"248",85,1374,234,23,160,620,884,51,36,0,1374,160,620,884,123,166,957,2134,1015.87997707827
"249",84,1460,235,22,215,608,914,69,43,0,1469,216,612,920,116,169,988,2384,1146.44053036465
"250",73,1425,223,13,169,563,862,64,34,0,1425,169,563,862,135,163,1020,2181,1048.83562312439
"251",67,1437,219,20,211,524,939,69,45,0,1437,211,524,939,109,174,987,2329,1123.47231061853
"252",54,1283,200,20,138,507,874,69,44,0,1291,139,510,879,119,173,925,1937,924.525202726301
"253",87,1369,238,33,129,593,957,118,55,0,1369,129,593,957,87,163,969,2060,967.577776029352
"254",76,1336,235,22,133,664,968,95,52,0,1344,134,668,974,92,152,946,2014,953.445224962508
"255",67,1421,256,29,170,528,974,50,33,0,1421,170,528,974,89,172,966,2245,1061.163450417
"256",89,1423,243,36,148,647,827,89,48,0,1423,148,647,827,93,168,996,2182,1028.70717517395
"257",85,1470,287,24,157,655,930,73,54,0,1470,157,655,930,100,171,1002,2276,1071.11259440362
"258",91,1514,268,29,201,634,947,100,19,0,1518,291,536.5,1370,82,149,1016,2443,1161.42360332929
"259",80,1425,258,30,195,646,903,104,51,0,1603,219,727,1016,81,159,942,2328,1105.02805860048
"260",88,1557,299,29,257,645,915,76,40,0,1557,257,645,915,97,173,972,2685,1275.76671582203
"261",98,1498,264,22,196,586,952,63,26,0,1498,196,586,952,97,148,1016,2394,1141.23900810616
"262",79,1520,303,11,214,593,903,86,48,0,1520,214,593,903,81,144,992,2487,1184.12497376051
"263",78,1572,299,21,203,615,890,107,46,0,1572,203,615,890,89,192,1049,2522,1196.82110684821
"264",74,1508,310,22,184,558,900,126,65,49,1508,184,558,900,116,151,992,2414,1135.88698849558
"265",63,1367,264,24,137,517,995,134,53,77,1375,138,520,1001,126,138,942,2090,980.212913262231
"266",67,1353,311,27,165,452,993,110,48,64,1353,165,452,993,91,173,850,2213,1027.38215581342
"267",78,1614,319,18,169,528,949,101,41,57,1614,169,528,949,110,161,1108,2476,1165.08973067136
"268",74,1492,296,27,189,447,902,83,37,54,1492,189,447,902,107,154,980,2409,1133.32107332142
"269",44,1533,221,79,25,664,450,196,49,0,1881,31,536.5,552,603,149,1208,1987,886.539860935871
"270",86,1356,190,79,41,461,816,245,49,0,1455,44,495,875,260,117,1046,1827,819.163812267725
"271",79,1344,206,72,43,448,626,196,49,0,1432,46,477,667,247,119,1023,1823,817.251967252206
"272",105,1450,282,105,42,81,84,105,45,0,1518,126,536.5,252,156,149,1812,2859,1270.56980756879
"273",98,1450,344,113,35,116,72,61,29,0,1518,101,336,208,156,149,1851,3018,1328.47833717609
